"Zeitstempel","How was your impression of the course organization?","How was your experience with GitHub and Codespaces?","Have you received enough support from the supervisors?","Have you mostly worked alone or in groups?","For you personally, what was the greatest challenge? For example, were there any specific problems which you ran into very often?","In your opinion, how helpful was the introduction to GitHub, Codespaces, Visual Studio Code, and Jupyter Notebooks in Lab Session 1?","How difficult was Task 1.4? (Writing loops in Python)","Please only answer if you chose ""too difficult"" for one of the questions above. For you personally, what was the greatest challenge?","In your opinion, how interesting/relevant was Lab Session 2?","How difficult was Task 1? (Image IO)","How difficult was Task 2? (Histograms)","How difficult was Task 3? (Intensity clipping)","Please only answer this question if you tried the Bonus Task (Writing re-usable code). How difficult was it?","Please only answer if you chose ""too difficult"" for one of the questions above. For you personally, what was the greatest challenge?","In your opinion, how interesting/relevant was Lab Session 3?","How difficult was Task 1? (Linear filtering by convolution)","How difficult was Task 2? (Non-linear filtering)","How difficult was Task 3? (Using pre-implemented filters)","Please only answer this question if you tried the Bonus Task (Slicing and benchmarking). How difficult was it?","Please only answer if you chose ""too difficult"" for one of the questions above. For you personally, what was the greatest challenge?","In your opinion, how interesting/relevant was Lab Session 4?","How difficult was the Task 1? (Prewitt filter)","How difficult was the Task 2? (Edge detection)","How difficult was the Task 3? (Sobel filter)","Please only answer if you chose ""too difficult"" for one of the questions above. For you personally, what was the greatest challenge?","Do you have any general criticism or suggestions regarding the organization or the content of the course, or the course as a whole?"
"2024/02/08 11:32:47 AM MEZ","2","4","4","Mostly in groups of three students","","4","4","","4","4","4","4","","","4","4","4","4","","","4","4","4","4","","I think it was very complicated to understand how to write the code. It would be helpful to have a step by step explanation to every task. I know that we could ask questions, but I would have asked, how I can do this completely. The introduction to Phyton was just too short and not really helpful. 
In the other bioinformatics class we had a bit more support and we had lesions just before the tutoring. "
"2024/02/08 11:54:37 AM MEZ","2","3","3","Mostly in groups of three students","some specific numpy commands that we needed for tasks were not given to us in the worksheet (i. e. numpy. sort the worksheet referred to a different command that didnt work)","2","1","","3","3","2","3","2","","2","4","4","4","3","","2","4","4","4","i would have liked a more obvious hint toward using arrays as filters",""
"2024/02/08 11:56:09 AM MEZ","2","2","3","Mostly in groups of four students","Sometimes necessary commands were not given (so it wasn’t clear how to even start solving the task, e.g. numpy.sort for Task 3 instead of just sort)","2","1","","3","1","1","2","3","","2","4","4","1","2","Task 2: wasn’t told that you need numpy.sort","2","3","2","2","Short introduction into arrays/matrixes would have been helpful","I liked that the presentation of the results was of the beginning of the next session and not at the end of the same one, but maybe give enough time for everyone to load their code"
"2024/02/08 11:58:21 AM MEZ","2","2","1","Mostly in groups of four students","it would have been nice to get a more general introduction into python and general commands that can be used. sometimes we were missing some commands in the exercise sheets that would have been helpful to know. in general I really liked the course!","1","3","","2","3","3","3","","Not too difficult but sometimes it wasn't clear what these functions can be used for in actual projects","1","4","3","3","3","","1","4","3","2","task 1: some thins were missing in the exercise that would have helped, such as using a matrix for the filter",""
"2024/02/08 12:01:16 PM MEZ","2","2","2","Mostly in groups of two students","Debugging the small mistakes (e.x. not sorting the list)
Imaging the border of the picture and what is included/excluded","1","2","","1","2","2","3","3","","2","3","4","2","4","","1","4","2","3","",""
"2024/02/08 12:19:21 PM MEZ","4","1","2","Mostly alone","","2","2","","3","2","3","3","2","","1","4","3","2","3","","2","2","3","3","",""
"2024/02/08 12:49:28 PM MEZ","2","1","1","Mostly in groups of two students","","1","1","","2","2","2","3","2","","2","4","3","2","2","","1","3","2","2","",""
"2024/02/08 1:28:37 PM MEZ","1","2","1","Mostly alone","My biggest problem was when I tried to work at home and was asked for the kernel. But I received great support via email","1","2","","3","2","2","2","2","","1","2","2","1","2","","1","2","2","2","","I would have liked a more general approach for implementing linear filters, but I got the necessary information upon asking"
"2024/02/08 7:27:10 PM MEZ","3","2","4","Mostly alone","Keine klare Aufgabenstellung, Umsetzung der Fragestellung in Programmiersprache ","2","1","","3","2","2","3","3","","4","5","5","5","5","","3","","","","","Es fehlten Angaben der Programmiersprache"
"2024/02/09 12:03:00 PM MEZ","1","1","1","Mostly alone","None but if their was the supervisors figured it out in no time ","3","3","","1","3","3","3","3","","1","4","4","3","3","Making sure the position of the filter kernel was moving with the pixel p (you have to connect pixel p with q within the loop)","1","5","5","5","Short explanation of how a kernel works (you have to multiple and then take the sum) would be good, even if it was part of the lecture already. ",""
